lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000805,Bromley 004E,15.6,0.14,14.2,35.8,20.8,18.2,38.9,39.3,0.7,32027.00 ,4.2,0
E01000740,Bromley 005A,12.5,0.22,29.6,25.5,22.4,12.7,36.6,55.7,0.5,28425.00 ,5.1,1
E01000741,Bromley 005B,13.9,0.2,23.4,26.4,37.3,15.9,42.2,57,0.5,28658.00 ,5.4,1
E01000742,Bromley 005C,13.2,0.21,21.3,28,26.4,12.5,44,50,0.6,29378.00 ,4.3,0
E01000745,Bromley 005D,13.6,0.19,21.7,31,25.5,12.6,44.3,47.7,0.6,32047.00 ,3.7,0
E01000746,Bromley 005E,12.2,0.16,14.5,30.2,21.1,13.1,46.9,47.4,0.7,34050.00 ,5.9,1
E01000709,Bromley 006A,4.8,0.14,3.6,26.7,19.7,19.1,42.3,40.5,0.7,35259.00 ,4.7,1
E01000710,Bromley 006B,6.4,0.17,6,33.8,6.7,12,48.3,27,0.9,42640.00 ,3.5,0
E01000711,Bromley 006C,4.9,0.19,5.1,26.9,11.8,13.3,46.7,31.4,0.8,41720.00 ,3.7,0
E01000714,Bromley 006D,7.2,0.21,4.1,27.7,4.8,9.9,45.9,33.1,0.8,39090.00 ,4.8,1
E01000718,Bromley 006E,16.6,0.2,13.2,27.9,33.1,17.2,34.3,35.3,0.9,29863.00 ,2.4,2
E01000645,Bromley 007A,3.5,0.12,1.1,43.7,0.6,8.7,48.5,4.1,1.8,64222.00 ,1.9,2
E01000649,Bromley 007B,8.7,0.14,4.6,38.2,5.9,12.8,45.9,10.2,1.5,54476.00 ,2.8,0
E01000694,Bromley 007C,3.6,0.1,2.5,38,0.9,14.7,42.8,10.6,1.5,58417.00 ,2.2,2
E01000695,Bromley 007D,6.8,0.12,1.3,41,4.1,11.6,40.7,13.8,1.4,52776.00 ,1.6,2
E01000696,Bromley 007E,6.6,0.12,1,35.2,0.8,12.1,46.5,9.7,1.5,59953.00 ,2.4,2
E01000697,Bromley 007F,4.8,0.14,1.1,42.4,1.7,9.5,51.2,13.2,1.3,53898.00 ,2.2,2
E01000674,Bromley 008A,6.7,0.18,5.2,36,20.1,17.7,39.4,33.2,0.9,36089.00 ,3.1,0
E01000676,Bromley 008B,12.2,0.24,6.4,23.8,23.9,14.3,41.3,45.5,0.7,32479.00 ,5.8,1
E01000820,Bromley 008C,9.6,0.13,4.2,33.4,21.9,16.9,39.7,28.1,1.1,37730.00 ,2.8,0
E01000822,Bromley 008D,11.3,0.17,7.7,37,16.4,16.7,37,30.8,0.9,35827.00 ,2.9,0
E01000823,Bromley 008E,7.9,0.16,2.8,43.8,8.3,9.5,46.1,19.5,1.1,42994.00 ,3.7,0
E01000824,Bromley 008F,10.5,0.19,5.2,42.2,15.6,14.3,39.6,30,0.9,35994.00 ,4.3,0
E01000825,Bromley 008G,10.9,0.16,4.2,32,12.5,16,37.3,35.9,0.8,35030.00 ,3.5,0
E01000743,Bromley 009A,21.8,0.2,24.5,15.6,47.2,26.2,29.4,56.5,0.5,24337.00 ,4.2,0
E01000744,Bromley 009B,21.6,0.2,27.8,16.7,61.9,27.8,18.7,54.8,0.6,22528.00 ,3.3,0
E01000796,Bromley 009C,29.2,0.23,34.7,12.2,74.5,22.9,21.9,54.2,0.6,23627.00 ,4,0
E01000798,Bromley 009D,22.7,0.24,26.6,15.9,56.7,25.6,21.8,55.7,0.5,21010.00 ,4.4,0
E01000800,Bromley 009E,15.9,0.21,27.4,26.7,29.6,16.1,35,46.2,0.7,27038.00 ,4,0
E01000806,Bromley 009F,19.8,0.22,29.2,18,40,18,32.4,56.2,0.5,25995.00 ,4.9,1
E01000693,Bromley 010A,4,0.16,2.5,30.5,8.2,19.4,33.2,16.1,1.5,47575.00 ,2.3,2
E01000698,Bromley 010B,7.1,0.15,4.3,39,1.4,16.9,35.6,4.6,2,54187.00 ,1.7,2
E01000736,Bromley 010C,15.5,0.18,3.1,39.2,30.4,28.4,18.5,25.4,1.2,28825.00 ,2,2
E01000737,Bromley 010D,16.9,0.16,6.2,33.4,32.1,30.4,19.6,27.4,1.1,27670.00 ,1.8,2
E01000672,Bromley 011A,9.1,0.14,4.2,41.2,3.4,13.8,40,17.8,1.2,45153.00 ,1.9,2
E01000673,Bromley 011B,9.2,0.14,5.3,46.5,8.1,13.4,40.6,15.9,1.3,43733.00 ,2.9,2
E01000716,Bromley 011C,5.7,0.15,2.9,33.2,6.1,13.3,43.8,21.2,1.2,49201.00 ,2.2,2
E01000717,Bromley 011D,7.9,0.19,3.7,34.5,5.7,10.7,44.5,24,1,40426.00 ,3.5,0
E01000828,Bromley 011E,8.1,0.12,3.7,35.5,13.3,14.1,40.4,24,1.1,43401.00 ,3.2,0
E01000712,Bromley 012A,6.4,0.17,4,33.1,2.4,10,48,22,1,46771.00 ,3.6,0
E01000713,Bromley 012B,7.5,0.16,7.6,36.7,4.3,9.4,47.7,19.7,1.1,45457.00 ,2.5,2
E01000715,Bromley 012C,4.5,0.13,2.7,35.4,5.3,12.5,46.7,25.1,1,44675.00 ,3.3,0
E01000770,Bromley 012D,3.2,0.13,1.6,26.5,0.9,10.7,46.9,22.4,1.2,53015.00 ,3.1,0
E01000772,Bromley 012E,4.9,0.11,3,32.4,4.2,15.9,43.4,21.3,1.2,48968.00 ,2.4,2
E01000700,Bromley 013A,14.7,0.16,7.9,47.6,17.6,16.2,40.2,27.8,0.9,35099.00 ,4,0
E01000702,Bromley 013B,9.6,0.16,7.8,46.7,8,14.1,37.6,22.7,1.1,38996.00 ,5,1
E01000703,Bromley 013C,10.8,0.17,4.5,37.6,9.7,10.3,47.5,26.5,1.1,43854.00 ,4.4,1
E01000706,Bromley 013D,11,0.16,8.7,43.7,17.6,18.8,30.7,28.1,1,32942.00 ,3.9,0
E01000797,Bromley 013E,7.4,0.14,4.9,41.5,14,11.6,48.2,24.4,1.1,44842.00 ,4.3,0
E01000729,Bromley 014A,18.7,0.22,8.6,16.6,59.8,34.1,13.4,42.6,0.8,21600.00 ,2.1,2
E01000730,Bromley 014B,28,0.23,9.4,23.4,54.7,30.7,14.5,36.1,0.9,23194.00 ,3.6,0
E01000735,Bromley 014C,16.2,0.18,6.5,32,36.7,31.9,15.5,26.9,1.1,26466.00 ,2.3,2
E01000738,Bromley 014D,13,0.15,6.8,40.8,15,29.1,19.3,20.9,1.2,30162.00 ,2.1,2
E01000739,Bromley 014E,20.8,0.17,10.7,22.9,53,34.4,14.4,39.1,0.8,23775.00 ,2.6,2
E01000699,Bromley 015A,15.1,0.22,19.6,36.7,21,14,35.6,44.1,0.7,30523.00 ,4.1,0
E01000701,Bromley 015B,10.7,0.15,12.8,48.9,8.5,14.6,35.5,26,0.9,36919.00 ,3.9,0
E01000704,Bromley 015C,10.8,0.15,13.8,49.7,5.1,20.4,30.6,23.3,1.1,34098.00 ,3.8,0
E01000705,Bromley 015D,13.6,0.17,22.1,40,18.8,14.4,35.5,38.1,0.9,33776.00 ,3.4,0
E01000801,Bromley 015E,15.4,0.17,14.9,36.2,19.7,19.9,30.2,35.4,0.8,30929.00 ,4.2,0
E01000646,Bromley 016A,8.2,0.17,3.8,36.4,4.8,15.8,41.7,26.2,1.2,42706.00 ,2.3,2
E01000647,Bromley 016B,12.4,0.14,3,52.1,4.9,14.8,35.8,16.9,1.2,40320.00 ,1.8,2
E01000648,Bromley 016C,9.9,0.14,3.2,50.2,3.3,14,38.7,13.6,1.4,44895.00 ,2.9,0
