lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,birth_not_uk ,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01001745,Hackney 016A,17.3,0.27,34.7,43.8,11.4,54.7,20.1,39.2,72.7,0.3,26487,4.6,1
E01001746,Hackney 016B,28.8,0.2,38.9,44.7,4.7,80.4,24.2,27.9,62.3,0.4,25124,4,0
E01001757,Hackney 016C,26.5,0.23,45.4,50.3,8.9,71.1,20,29,68,0.4,24745,6.8,1
E01001758,Hackney 016D,18,0.24,33.5,46.7,11.4,54.9,21.6,37.8,72.6,0.3,26405,7,1
E01001759,Hackney 016E,14.4,0.28,29.1,37,17.2,49.2,17.8,44.4,68.8,0.4,30212,6.5,1
E01001761,Hackney 016F,14.8,0.26,27.8,39.9,11.7,60.5,20.6,40.5,71,0.3,28031,7,1
E01001731,Hackney 017A,14.8,0.31,30,40.6,11.1,52.6,16.5,43.2,72.1,0.3,27518,6.7,1
E01001734,Hackney 017B,13.4,0.3,25.4,42.6,14,30.3,15.8,47,73.9,0.3,30080,6.8,1
E01001760,Hackney 017C,15.7,0.29,26.8,40.8,11.6,41.4,19,40.3,73.7,0.3,29351,7.3,1
E01001762,Hackney 017D,10.6,0.35,17.1,34.7,18.4,31.2,13.2,53.3,68.4,0.4,35300,6.7,1
E01001846,Hackney 018A,21.7,0.21,38.6,34.7,12.3,60,28.8,27,56.3,0.5,26210,3.9,0
E01001847,Hackney 018B,19.5,0.22,28.8,36.4,18.8,46.3,24.2,30,61.5,0.5,25625,4.1,0
E01001848,Hackney 018C,15.7,0.24,31.4,34.3,16,47.3,24.2,38.2,57.6,0.5,29023,3.8,0
E01001849,Hackney 018D,17.8,0.29,29.1,36.8,16.4,34.4,16.6,41.1,57.4,0.5,28381,4,0
E01001729,Hackney 019A,21.7,0.25,42.6,41.8,9.7,64.5,24.1,30.7,70.7,0.3,23760,5,1
E01001730,Hackney 019B,21.1,0.21,34.9,44.5,7,71.8,30,23.6,73.3,0.3,22693,5.3,1
E01001732,Hackney 019C,26.3,0.23,41.6,45.1,8,70,25.1,26.9,69.1,0.4,23028,5.5,1
E01001735,Hackney 019D,16.6,0.22,26.5,36.2,24.1,44.2,22,42.5,60.5,0.5,30975,6.5,1
E01001838,Hackney 019E,26.1,0.21,39.7,42.2,6.5,79.6,30,22.9,72.6,0.3,21812,5.9,1
E01001850,Hackney 019F,29.4,0.21,47.2,43.5,6.7,74.4,26.3,21.7,67.3,0.4,22124,4.1,0
E01001748,Hackney 020A,11.7,0.33,19.4,35.7,12.9,33.9,12.8,54.1,73,0.3,35122,6.8,1
E01001749,Hackney 020B,11,0.26,15.8,28.9,24.8,29.6,10.2,62,60.6,0.5,45818,6.4,1
E01001763,Hackney 020C,14.8,0.23,27.2,32.8,17,48.5,16.3,47.5,65.8,0.4,34916,5.8,1
E01001816,Hackney 020D,15.5,0.23,22.8,32.5,24.8,38.8,16.5,47.4,53.4,0.6,38295,3.6,0
E01001819,Hackney 020E,12.6,0.24,16,29.5,20.9,46.8,18.1,49.5,54.2,0.6,44092,4.6,1
E01001744,Hackney 021B,14.2,0.27,26.6,39.4,20.9,46.6,20.6,42.9,58.4,0.5,32908,6.3,1
E01001750,Hackney 021C,13.7,0.3,17.8,38.5,16.9,40.7,17.8,47.5,63.7,0.4,36264,5.1,1
E01001751,Hackney 021D,5.3,0.27,4.7,24.6,30.6,10.7,7,69.9,44.8,0.7,65423,5.5,1
E01001756,Hackney 021E,7.7,0.35,9.7,32.3,19,21.8,11.1,60.2,61.8,0.4,45231,6.8,1
E01033698,Hackney 021F,17,0.26,27.7,42.4,5.1,67.9,24.9,34.2,71,0.3,25630,5.2,1
E01033699,Hackney 021G,7,0.37,17.5,45.1,14.4,22.2,11,52.5,75.9,0.3,34740,6.5,1
E01033700,Hackney 021H,7.5,0.37,15.3,46,13.5,22,11.6,58.4,78,0.2,38434,6.9,1
E01033707,Hackney 021I,10.1,0.34,22.6,47,5.5,40.6,15.3,47.8,70,0.4,29485,5.4,1
E01001836,Hackney 022A,16,0.21,21.4,27,16.1,51.3,19.9,42,59.5,0.5,35849,3,0
E01001840,Hackney 022B,19.7,0.22,32.9,38.2,14.4,66.9,28,32.5,64.2,0.4,26438,4.7,1
E01001841,Hackney 022C,12.6,0.22,15.2,25.8,20,48.6,21.6,41.5,56.7,0.5,36262,2.8,0
E01001844,Hackney 022D,11.1,0.35,16.5,27.5,18.2,42.7,15.1,45.9,56.8,0.5,40816,4.2,0
E01001845,Hackney 022E,23.2,0.23,34.8,33.1,4.9,80.7,31.4,26.6,67.8,0.4,25452,3.4,0
E01001837,Hackney 023B,8,0.21,8.1,26.5,29.5,28.7,10.7,58.9,51.1,0.6,50099,4.8,1
E01001839,Hackney 023C,14.3,0.36,17.6,40.8,14.8,33.5,10.1,51.3,73.2,0.3,32109,6.4,1
E01001842,Hackney 023D,23.6,0.23,32.2,36.5,14.1,64.2,20.2,37.7,62.9,0.4,28214,5.3,1
E01001843,Hackney 023E,21.1,0.22,24.8,30.5,21.5,50.6,19.9,43.7,50.2,0.6,39538,3.7,0
E01033704,Hackney 023F,8.4,0.31,12.9,36.1,17,20.6,6.6,64.4,68,0.4,42930,6.8,1
E01033712,Hackney 023G,16.6,0.32,20.3,41.1,12.6,42.7,13.3,53.9,66.7,0.4,30447,5.6,1
E01001772,Hackney 024A,20,0.22,38.8,48.7,8.3,76.9,25.4,28.8,67.5,0.4,23322,5,1
E01001774,Hackney 024B,15.8,0.34,21.7,39.5,17.1,41.8,15.9,47.9,68.3,0.4,30013,5,1
E01001775,Hackney 024C,17.1,0.27,27.8,43.5,12.5,65.2,21.9,31.4,69.6,0.3,24186,3.9,0
E01001815,Hackney 024D,17.5,0.24,33,39.5,15,64.5,23.7,35.4,59,0.5,26138,4,0
E01001820,Hackney 024E,22.2,0.27,36,40.5,13.5,63.8,26.3,33.2,60.6,0.4,27096,3.9,0
E01001821,Hackney 024F,17.2,0.25,33.2,38.4,10.2,71.4,27.1,31.2,70.2,0.3,24488,4.1,0
E01001752,Hackney 025A,13.5,0.32,21.4,39.1,16.4,33.5,11,57.3,68.4,0.4,39603,3.9,0
E01001753,Hackney 025B,20.4,0.21,39.8,45.5,4.7,74.5,24.6,30.9,68.4,0.4,24817,3.7,0
