lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,birth_not_uk ,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01002765,Islington 015D,20.7,0.36,17.4,43.9,8.4,56,20.6,35.9,69.1,0.4,27012,6,1
E01002766,Islington 015E,17.1,0.32,19.7,42.2,6.8,65.2,25.5,28.1,72.1,0.3,24692,4.6,1
E01002717,Islington 016A,10,0.24,9.7,28.2,18.6,36.8,15.4,54.4,51.9,0.6,46094,6.8,1
E01002719,Islington 016B,10.2,0.21,5.3,26.7,22.4,28,12.3,61.3,51.8,0.6,54462,7,1
E01002720,Islington 016C,26.9,0.25,19.3,32.2,8.8,67.7,24.2,32,70,0.3,27242,6.7,1
E01002790,Islington 016D,16.3,0.23,13.9,29.9,5,74.6,26.6,36.5,69.5,0.3,30671,6.7,1
E01002791,Islington 016E,8.9,0.24,5,30.8,18.2,28.9,14.1,57.8,58.8,0.5,53326,7.1,1
E01002793,Islington 016F,16.9,0.3,10.3,33.4,12.4,53.5,19.6,49.8,72.4,0.3,35109,7,1
E01002698,Islington 017A,9.4,0.3,8.2,29.7,24.4,30.1,10.6,61,61.5,0.5,47477,5.8,1
E01002699,Islington 017B,7.5,0.25,4.2,25,19.4,36.1,13.6,58.4,53.3,0.5,52338,4.8,1
E01002700,Islington 017C,5,0.21,2.4,28.2,26.7,12.8,8.1,67.5,37.5,0.8,75640,3.5,0
E01002714,Islington 017D,8,0.29,4.5,32.9,22.3,18.3,7.3,65.6,55.1,0.5,56752,4.7,0
E01002792,Islington 017E,9.1,0.29,6.7,30.6,18.2,28.5,9.6,62.7,61,0.5,53557,6.5,1
E01002722,Islington 018A,17.8,0.23,11,27.1,12.1,59.7,25.5,38,66.6,0.4,31140,6.1,1
E01002797,Islington 018B,16.3,0.33,10.9,30.1,15.1,52.1,21.2,44.7,66.4,0.4,33182,6,1
E01002798,Islington 018C,7.9,0.23,5.4,26.4,30.9,25.6,15,59.6,49.3,0.6,53817,3.6,0
E01002799,Islington 018D,19.4,0.24,15.5,33.7,13.4,59.2,23.4,38.8,72.4,0.3,30992,5.9,1
E01002800,Islington 018E,24.6,0.23,18.4,33,6.9,77.5,31.9,25.3,66.9,0.4,25628,3.1,0
E01002694,Islington 019A,23.9,0.26,17.3,35.9,7.9,69.4,29.2,30.3,71.6,0.3,26707,5,1
E01002697,Islington 019B,17.6,0.44,16.5,52.3,6.1,65.4,20.9,29.4,74.2,0.3,25632,7.9,1
E01002709,Islington 019C,15.7,0.35,13.1,38.1,8.5,52.6,25.7,34.4,69.4,0.4,28959,4.7,0
E01002710,Islington 019D,17.7,0.25,18,34.1,14.4,58.6,26.8,34,58.5,0.5,30475,5.9,1
E01002715,Islington 019E,18.8,0.31,20,39.6,7.9,60.7,25.7,29.5,76.7,0.3,24456,3.8,0
E01002696,Islington 020A,10.4,0.26,4.8,33.2,20.9,26.9,12.5,61.3,63.1,0.4,53155,5.1,1
E01002794,Islington 020B,7.7,0.3,6.5,36,13.2,30.7,10.1,62.8,65.9,0.4,50851,6.3,1
E01002801,Islington 020C,7.9,0.26,6.8,31.1,19.4,27.5,10.3,64.9,61.2,0.5,59919,6.8,1
E01002802,Islington 020D,9.5,0.25,3.7,31.3,22.8,23.7,11.7,65.2,54.8,0.5,56756,4.7,1
E01002803,Islington 020E,9,0.34,5.8,38.5,19.1,32.7,14,60.3,61.6,0.5,44983,6.3,1
E01002695,Islington 021A,6.4,0.33,8.8,39.4,13.5,35.6,20.7,52.6,74.5,0.3,34441,6.7,1
E01002711,Islington 021B,9.2,0.35,10.3,44.5,14.2,29.7,10.6,52.2,73.8,0.3,37518,8,1
E01002727,Islington 021C,12.3,0.23,7,34.8,17.6,39,15.3,53.9,67.6,0.4,43271,6.8,1
E01002728,Islington 021D,12.6,0.53,11.4,50.7,13.6,49.5,9.9,43.9,71.9,0.3,32007,7.7,1
E01002729,Islington 021E,8.8,0.23,8.3,30.4,17.7,38.6,18.4,50,56.1,0.5,47283,6.6,1
E01002707,Islington 022B,9.4,0.38,8.8,45,12,42.8,15.9,52.9,78.4,0.3,35285,6.6,1
E01002723,Islington 022C,12.4,0.31,12.7,35.3,11.5,54.3,22.3,37.6,75.5,0.3,29790,6.5,1
E01002724,Islington 022D,4.5,0.37,4.4,41.5,22.8,20.8,7.4,57.7,63.8,0.4,58136,7.5,1
E01002725,Islington 022E,16.3,0.37,12.2,39.5,11.9,67.5,19.9,35.6,72.6,0.3,29917,6,1
E01002726,Islington 022F,11.5,0.25,10.9,36.8,14.7,42.5,16.5,51.1,71.3,0.3,37328,6.7,1
E01033489,Islington 022G,3.9,0.52,3.4,44.4,24.5,10.4,2.3,53.3,66.5,0.4,52722,7,1
E01033490,Islington 022H,9.2,0.51,8.4,45.4,12.8,31.2,11.1,56.6,76.2,0.3,35434,7.3,1
E01002701,Islington 023A,13.8,0.29,13.5,40.8,10.3,63.8,23.1,40.1,76.5,0.3,30924,7,1
E01002702,Islington 023B,17.4,0.37,16.2,46,6.8,60.6,18.8,39.7,76.2,0.3,30281,6.3,1
E01002703,Islington 023C,15.2,0.32,14.6,40.6,11,56.6,18.7,36.6,72.5,0.3,29330,6.8,1
E01002704,Islington 023D,10.2,0.33,15.2,39.8,13,52.3,18.2,40.9,74.8,0.3,37054,7.9,1
E01002706,Islington 023E,16.3,0.27,11.9,34.5,10.7,56.5,20.3,40.8,71.5,0.3,32202,7.5,1
E01002852,Kensington and Chelsea 001A,17.9,0.2,25.3,49.2,6.4,64.7,22.4,30,71.3,0.3,22478,4.6,1
E01002853,Kensington and Chelsea 001B,18.9,0.23,23.7,46.1,2.8,80.9,30.3,24.3,68.9,0.4,22790,4.8,1
E01002854,Kensington and Chelsea 001C,21.1,0.18,24,46.7,9.6,74.6,24.6,26.6,67.2,0.4,22249,4.3,0
E01002855,Kensington and Chelsea 001D,16.4,0.22,24.1,44.5,8.5,70.5,23.5,32.6,66.9,0.4,24377,4.2,0
E01002857,Kensington and Chelsea 001E,24.1,0.21,24.6,46.1,4,86.9,26.2,21.1,69.7,0.3,17879,3.4,0
E01002904,Kensington and Chelsea 002A,23.9,0.23,23.4,39.7,0.8,89.9,25.3,21,62.4,0.4,20507,2.6,2
E01002905,Kensington and Chelsea 002B,17.9,0.2,17.2,38.6,8.6,67.7,24.6,29.6,60.6,0.5,25120,4.9,1
E01002906,Kensington and Chelsea 002C,15.7,0.21,12.8,36.5,14.6,49.6,24.9,32.6,57.6,0.5,28828,3.7,0
E01002907,Kensington and Chelsea 002D,29.4,0.19,16.9,34.1,1.8,90.9,30.1,20.9,61.9,0.4,24540,2.3,2
E01002876,Kensington and Chelsea 003A,11.6,0.17,7.8,31.9,19.8,28.9,13.7,50.5,42.2,0.8,40489,3.6,0
E01002877,Kensington and Chelsea 003B,26.1,0.21,18.5,40.8,8.2,68.5,21.1,29.5,58.7,0.5,24409,4.3,0
E01002878,Kensington and Chelsea 003C,10,0.17,11.4,45.8,16.2,40.3,14.3,50.1,61.6,0.4,33706,5.1,1
E01002908,Kensington and Chelsea 003D,11.6,0.22,8,34,21.1,29.1,17.1,44.7,50.5,0.6,34923,3.1,0
E01002909,Kensington and Chelsea 003E,9.3,0.19,8.1,41.7,14.1,44.9,13.1,51.1,59.4,0.5,36910,5.2,1
E01002829,Kensington and Chelsea 004A,12.4,0.19,13.6,39.6,9.8,51.8,11.1,46.4,63.8,0.4,34389,5.1,1
E01002830,Kensington and Chelsea 004B,13.5,0.2,16.4,43.9,10.8,57.5,16.7,43.6,66.4,0.4,30402,5,1
E01002831,Kensington and Chelsea 004C,12,0.22,15.2,43.7,10.5,50.6,15.1,44.9,66.6,0.4,33051,5.1,1
E01002832,Kensington and Chelsea 004D,16.3,0.21,14.5,45.9,8.8,45.7,14.3,45.7,63.2,0.4,33840,6.2,1
E01002856,Kensington and Chelsea 004E,10.2,0.24,14.5,43.7,8.3,46.5,13.3,49.1,66.6,0.4,31364,5.3,1
E01002870,Kensington and Chelsea 005A,16.3,0.22,19.2,39.2,2.7,79.4,25.9,28.3,70.9,0.3,22091,3.4,0
E01002872,Kensington and Chelsea 005B,12.4,0.14,8.6,40,5.5,72.5,29.1,35.6,58.1,0.5,34096,4.9,1
E01002879,Kensington and Chelsea 005C,18.1,0.23,24,45,6.9,60.6,19.9,34.1,70.6,0.3,25386,4.6,1
E01002880,Kensington and Chelsea 005D,23.3,0.22,25.9,48.1,5.7,78.4,25,25.4,71.2,0.3,20832,4,0
E01002881,Kensington and Chelsea 005E,20.4,0.21,15.5,39.2,9.4,68.8,24.7,28.9,57.9,0.5,26324,3.4,0
E01002882,Kensington and Chelsea 006A,7.8,0.15,6.3,41.8,12.2,29.4,9,58.7,53.9,0.6,47558,6.7,1
E01002883,Kensington and Chelsea 006B,5.5,0.18,3.3,49.1,14.5,3.5,7.8,61.1,50.2,0.6,57926,7,1
E01002884,Kensington and Chelsea 006C,3.8,0.3,3.7,56.6,10.1,16.3,4.7,57.1,67.7,0.4,43919,7.1,1
E01002885,Kensington and Chelsea 006D,4,0.28,3.6,58,13.7,7.7,4.4,64.1,72.9,0.3,41021,7,1
E01002886,Kensington and Chelsea 006E,3.8,0.16,3.2,50,18.4,10,5.5,62.4,48.9,0.7,59557,7,1
E01002833,Kensington and Chelsea 007A,7.1,0.2,3.8,49.2,16.8,17.2,6.5,65,57.3,0.5,47585,5.5,1
E01002871,Kensington and Chelsea 007B,5.1,0.14,1.7,39.1,16,6.5,5,62.4,37.2,0.9,74149,6.4,1
E01002873,Kensington and Chelsea 007C,9,0.16,5.3,40,16.3,25.5,12.1,57.4,47.6,0.7,48763,6.7,1
E01002874,Kensington and Chelsea 007D,10,0.25,7.8,42.9,15.1,30.4,9.1,59.3,54.5,0.6,41176,5.2,1
E01002875,Kensington and Chelsea 007E,5.4,0.18,3,43.1,14.1,15.6,5.5,62.3,44.1,0.8,57414,5.8,1
E01002824,Kensington and Chelsea 008A,3.5,0.17,1.9,52.1,15.6,7.5,3.5,62.9,49.3,0.7,61756,7,1
E01002825,Kensington and Chelsea 008B,5.1,0.17,4.3,57.2,13.5,6.8,6.1,56.7,43.9,0.8,67995,6.3,1
E01002826,Kensington and Chelsea 008C,4.5,0.21,1.2,56.2,13.2,3.6,4.6,62.3,57.4,0.5,56837,6.8,1
E01002827,Kensington and Chelsea 008D,3.1,0.18,1.1,48.9,17.1,1.6,2.9,68.2,45.4,0.8,65202,7.1,1
E01002828,Kensington and Chelsea 008E,4.8,0.16,2.4,48.3,11,17.7,5.7,62.2,52.1,0.6,64158,7,1
E01002864,Kensington and Chelsea 009A,7.2,0.12,2.3,60.5,17.4,4.5,6.9,58.5,32.2,1,72375,4.7,1
E01002866,Kensington and Chelsea 009B,10.6,0.21,6.1,51.5,21.2,20.9,7.5,55.5,56.1,0.6,37762,6.4,1
E01002867,Kensington and Chelsea 009C,10.4,0.23,7,57.7,16.2,14.9,8.5,56.6,55.8,0.5,35482,5.4,1
E01002868,Kensington and Chelsea 009D,3.9,0.14,1.5,55,14.2,3,4.4,62.7,28.6,1,79061,6,1
E01002869,Kensington and Chelsea 009E,7.7,0.19,4.8,51.3,15.4,19.3,8.4,62.4,57.3,0.5,39652,7.7,1
E01002887,Kensington and Chelsea 010A,2.2,0.28,1.4,62.7,12.1,2.9,3.8,67.8,58.9,0.5,55879,6.3,1
E01002889,Kensington and Chelsea 010B,2.9,0.23,2.2,63,12.8,3.1,5.3,54.7,49.2,0.7,67282,5.5,1
E01002890,Kensington and Chelsea 010C,4.3,0.11,1.1,52.6,13.5,3.4,5.1,61.6,30.2,1,88199,5.4,1
E01002891,Kensington and Chelsea 010D,5.7,0.21,3.3,62.7,12.5,7.7,4.7,60.1,49.9,0.6,65745,6.4,1
E01002892,Kensington and Chelsea 010E,3,0.27,2.8,67,15.7,3,2.4,60.1,53.9,0.6,61227,6.7,1
E01002813,Kensington and Chelsea 011A,2.3,0.17,1.3,52.9,15.4,5.1,4.7,66.7,49.1,0.7,69041,6.8,1
E01002815,Kensington and Chelsea 011B,5.6,0.23,1.1,63.7,16.6,7.3,7.4,57.9,63.4,0.4,40568,7,1
E01002816,Kensington and Chelsea 011C,3.3,0.22,0.8,63,10.8,1,5.2,63.7,60.8,0.5,61388,6.1,1
E01002817,Kensington and Chelsea 011D,7.1,0.16,1.8,53.4,14.4,2,4.7,64.1,39.4,0.8,63564,6.7,1
E01002865,Kensington and Chelsea 011E,7.4,0.13,1.1,65.4,16.5,2,5.8,57.7,43.6,0.9,77252,5.7,1
E01002818,Kensington and Chelsea 012A,3.2,0.24,2.4,64.6,9.6,4.6,5.3,56.5,62.4,0.5,59005,6.7,1
E01002819,Kensington and Chelsea 012B,2.7,0.24,1.3,64.4,10,2.1,4.4,59.7,54.4,0.6,63888,6.1,1
E01002859,Kensington and Chelsea 012C,4.6,0.19,0.7,60.7,12,5.5,5,61.9,50.6,0.6,67873,6.8,1
E01002860,Kensington and Chelsea 012D,4,0.2,0.9,50.9,12.5,1,4,63.4,43.4,0.8,81234,5.7,1
E01002863,Kensington and Chelsea 012E,2.8,0.15,1.2,63.1,9.7,2,6.2,56.9,42.2,0.8,68053,7,1
E01002812,Kensington and Chelsea 013A,5.7,0.25,3.1,66.2,10.7,6.4,6.3,56.6,53.4,0.6,49954,5.7,1
E01002834,Kensington and Chelsea 013B,2.9,0.25,2.4,65.3,15.6,11.8,4.1,59.8,56.5,0.5,55668,7,1
E01002839,Kensington and Chelsea 013C,4.5,0.28,5.7,66,11.8,19,7.4,58.3,69.2,0.4,39700,7,1
E01002850,Kensington and Chelsea 013D,6.6,0.34,4.1,62.9,14.5,12.9,6.6,50.5,64.2,0.4,37827,7,1
E01002888,Kensington and Chelsea 013E,2.1,0.34,2.1,69.7,14.4,4.3,2.7,64.1,64.2,0.4,49997,5.9,1
E01002821,Kensington and Chelsea 014A,4.9,0.23,1.5,67.3,12.4,9.4,4.3,60.2,50.7,0.7,66368,7.1,1
E01002823,Kensington and Chelsea 014B,10.3,0.15,5.5,46.3,6.1,53.4,17,39.1,58.2,0.5,37071,7,1
E01002858,Kensington and Chelsea 014C,10.5,0.3,8.9,56.5,8,24.3,14.2,44.8,74.4,0.3,28128,6.3,1
E01002861,Kensington and Chelsea 014D,6.2,0.16,2,51.5,8.7,17.6,8.8,59,50.3,0.7,63566,6.7,1
E01002862,Kensington and Chelsea 014E,9.7,0.23,5.7,50.6,4.5,42.7,17.5,43.6,74,0.3,29052,7,1
E01002814,Kensington and Chelsea 015A,12.4,0.22,5.6,58.9,10.1,30.4,9.2,48.9,59.2,0.5,35120,6.8,1
E01002847,Kensington and Chelsea 015B,4.8,0.27,3.4,59,20,9.6,6.2,60.3,64.2,0.5,40512,7,1
E01002848,Kensington and Chelsea 015C,6.3,0.26,5.5,59.9,10.3,28.1,8.7,54.7,73.5,0.3,34810,7,1
E01002851,Kensington and Chelsea 015D,8.1,0.22,8.8,62.5,7.6,46,14.1,42.7,75.7,0.3,30016,7,1
E01002820,Kensington and Chelsea 016A,2.7,0.2,1.4,68.7,11.7,3.9,4.8,65.3,57.8,0.6,57417,7,1
E01002822,Kensington and Chelsea 016B,3.4,0.11,0.2,57.1,11.4,6.6,5,64.9,41.1,0.8,68758,7.1,1
E01002835,Kensington and Chelsea 016C,3.1,0.25,2.2,60.6,15.8,1.5,2.2,67.4,52.4,0.6,61265,7,1
E01002836,Kensington and Chelsea 016D,4.5,0.24,1.6,62.6,14.3,7.5,3.1,63.6,58.6,0.5,57219,6.8,1
E01002837,Kensington and Chelsea 016E,2.4,0.22,0.9,62.7,11.6,5.9,3.7,64.7,52.4,0.7,61872,6.8,1
E01002846,Kensington and Chelsea 017A,7.7,0.27,5.6,61.9,14,22.4,8,52.2,74.5,0.3,35045,7,1
E01002849,Kensington and Chelsea 017B,6,0.23,3.1,60.1,21.7,13,6.3,59.6,61.4,0.5,43321,7,1
E01002893,Kensington and Chelsea 017C,5.9,0.26,4.4,51.6,19.3,20.3,8.3,55.3,59.8,0.5,38772,6.8,1
E01002894,Kensington and Chelsea 017D,5.4,0.23,3.3,58.7,19.1,8.2,3.3,65.7,61.1,0.5,47830,7,1
E01002898,Kensington and Chelsea 017E,4.7,0.15,1.8,61.3,20.2,11.4,4.7,57.6,47.9,0.7,61674,6.8,1
E01002899,Kensington and Chelsea 018A,8.1,0.16,4.2,43.7,8.9,30.6,12.3,47.3,61.2,0.5,39995,4.3,0
E01002900,Kensington and Chelsea 018B,4.3,0.16,1.4,43.8,18.5,1.3,4.6,59.7,30.8,1,72488,3.6,0
E01002901,Kensington and Chelsea 018C,4.8,0.08,0.9,36.8,15.5,21.2,18.3,46.9,45.7,0.8,52016,4.7,1
E01002902,Kensington and Chelsea 018D,5.6,0.19,3.3,56.2,10.5,13.6,7,58.2,55.4,0.5,54906,7,1
E01002903,Kensington and Chelsea 018E,3.6,0.13,1,40.4,15.3,0.7,4.3,66.6,28.8,1,92431,5.1,1
E01002844,Kensington and Chelsea 019A,4.4,0.17,2.2,48.6,11.3,11.9,7.5,57,42.8,0.8,59309,4.5,0
E01002845,Kensington and Chelsea 019B,4.5,0.19,5.2,47.4,14.5,32.2,8.8,52.6,58.9,0.6,40396,5.3,1
E01002910,Kensington and Chelsea 019C,5.6,0.12,2.3,48.9,11.9,23,10.2,51.2,50.5,0.7,49974,6.1,1
E01002911,Kensington and Chelsea 019D,4.4,0.19,1.6,48.8,19.9,3.8,3.8,60.1,34.8,0.9,68215,5.4,1
E01002914,Kensington and Chelsea 019E,5.5,0.18,1.1,50,11.6,2,5.7,57.9,49.4,0.7,61381,6.7,1
E01002838,Kensington and Chelsea 020A,5.2,0.45,1.2,52.3,12.6,5.4,2.1,41.4,45.4,0.7,60286,6.6,1
E01002895,Kensington and Chelsea 020B,5.6,0.14,1.6,47.3,18,3.1,4,63,39.3,0.9,71831,4.5,1
E01002896,Kensington and Chelsea 020C,3.8,0.19,1,53.5,21.1,4.7,3.8,65.7,45.9,0.7,59835,6.1,1
E01002897,Kensington and Chelsea 020D,7,0.23,2.3,46.9,17.5,11.2,6.4,56.5,54.9,0.6,40129,5.4,1
E01002912,Kensington and Chelsea 020E,7.7,0.22,3.5,45.4,14.2,20.1,7.9,58.1,50.9,0.6,51175,5,1
E01002840,Kensington and Chelsea 021A,17.5,0.18,7.6,38.3,7.2,51.5,23.5,33.9,64.4,0.4,29271,4.9,1
E01002841,Kensington and Chelsea 021B,9.8,0.21,6.7,40.6,20.9,29.5,12.2,41.2,52.4,0.6,36951,4.2,0
E01002842,Kensington and Chelsea 021C,21.6,0.18,10.9,49.5,5.4,80,24.2,24.4,70,0.3,20918,4.5,1
E01002843,Kensington and Chelsea 021D,18.7,0.18,14,42.1,7.5,71.8,18.6,33.9,64.9,0.4,28709,5.1,1
E01002913,Kensington and Chelsea 021E,7.4,0.24,5.3,50.3,18.5,15.5,9,52.9,47.1,0.7,42040,5.2,1
E01003015,Lambeth 002A,17.5,0.25,30.4,41,10,63,22.5,37.3,67.9,0.4,27174,6,1
E01003108,Lambeth 002B,17.1,0.2,32,41.2,13.1,55.8,19.9,39.1,70.2,0.3,28605,6.9,1
E01003110,Lambeth 002C,10.2,0.26,15.1,27.1,26.3,29.3,12.3,58.8,57.1,0.5,45666,6.9,1
E01003111,Lambeth 002D,22.4,0.23,42.2,49.4,10.2,73.5,28.5,24.2,73.8,0.3,23381,4.6,1
E01003112,Lambeth 002E,14.4,0.27,30.4,43.4,15.8,54,20,37.1,66.9,0.4,29108,5.4,1
E01003101,Lambeth 003A,16.5,0.32,24.9,40.6,14.3,46.1,15.1,48.5,68.8,0.4,31666,7.7,1
E01003105,Lambeth 003B,18.2,0.25,32.1,40.4,14.4,57.4,18.6,40.8,69.5,0.4,28958,6.2,1
E01003106,Lambeth 003C,15.9,0.24,22.4,31,14.8,43.4,11.2,54.7,59.7,0.5,39002,5.6,1
E01003107,Lambeth 003D,10.5,0.27,15.6,33.6,25.2,26.6,9.2,62.9,59,0.5,48204,7.1,1
E01003109,Lambeth 003E,16.1,0.28,25.9,44.8,13,48.1,16.1,44,70.8,0.3,30233,7.1,1
E01003102,Lambeth 004A,7,0.3,13.4,43.6,17.4,36.8,10.1,56.6,67.9,0.4,39223,7.8,1
E01003104,Lambeth 004C,8.2,0.34,17.6,46.3,19.8,21.5,9.5,52.2,69.9,0.4,32693,6.7,1
E01003122,Lambeth 004D,12.4,0.32,23.1,42.5,20.9,35.1,12,50.7,66.6,0.4,31421,3.5,0
E01003129,Lambeth 004E,12.6,0.3,20.1,45.1,16.2,26.9,11.1,49.2,65.6,0.4,33700,5.2,1
E01033207,Lambeth 004F,13.4,0.23,23.7,40.7,14.1,54.8,22.8,38.1,66.8,0.4,30716,6.5,1
E01033208,Lambeth 004G,7.5,0.32,13.7,50.1,12.3,19.5,6,62.1,69.4,0.4,40891,7.9,1
E01003098,Lambeth 005A,12.2,0.27,25.4,41,19.1,36.1,14.4,50.4,57.7,0.5,33896,5.4,1
E01003099,Lambeth 005B,15.5,0.32,23.6,40.9,17,37.5,14,49.3,68,0.4,30907,7.6,1
E01003100,Lambeth 005C,4.9,0.44,7.9,37.4,20.8,11.6,6,69.4,70,0.3,45666,6.3,1
E01003180,Lambeth 005D,15.6,0.27,31.2,38.8,21.5,47.4,14.5,46.2,58.2,0.5,32488,3.4,0
E01003183,Lambeth 005E,18.4,0.31,35.8,39.4,15.2,60.7,18.6,39,62.8,0.4,28080,5.3,1
E01003097,Lambeth 006A,17.5,0.26,26.5,43.3,12.8,60.4,22.5,31.1,70.7,0.3,25979,5.9,1
E01003121,Lambeth 006B,24,0.23,44.3,44.9,8.7,74.7,22.8,24.4,68.6,0.4,24599,4.5,1
E01003123,Lambeth 006C,10,0.23,12.6,36.4,26.6,23.9,8.3,58.7,56.1,0.6,45477,5.2,1
E01003124,Lambeth 006D,13.7,0.27,22.8,49.8,12.6,43.1,17.7,38.7,69.5,0.4,28051,5.7,1
E01003125,Lambeth 006E,27.5,0.22,40.2,47.7,10,67.6,24,25.4,68.2,0.4,22771,5.6,1
E01003181,Lambeth 007A,18.9,0.3,28.7,39.6,17.9,51.4,17.8,41.3,67.9,0.4,29053,5.7,1
E01003184,Lambeth 007B,27.8,0.22,51.7,45.2,9,77.8,24.6,24.2,71,0.4,22330,4.9,1
E01003185,Lambeth 007C,11.2,0.32,23.3,36.7,18.5,43.4,12.2,52.5,70.4,0.3,32095,5.2,1
E01003186,Lambeth 007D,11,0.33,20.7,34,18.8,33.1,8.7,55.7,57.9,0.5,39476,5.3,1
E01003187,Lambeth 007E,23.6,0.29,53.3,46.7,16.1,66.5,16.9,30.9,62.1,0.5,25861,3,0
E01003089,Lambeth 008A,25,0.32,37.4,55.1,14.2,55.2,18.3,30.7,65.5,0.4,25257,4,0
E01003091,Lambeth 008B,19.5,0.33,25.6,42,18.6,41.5,14.8,44.8,61.7,0.4,30236,4,0
E01003092,Lambeth 008C,21.2,0.27,33.8,44.5,12.1,58.4,22.2,33.9,66.4,0.4,25665,3.8,0
E01003126,Lambeth 008D,20.6,0.27,33.7,47.7,16.3,47.8,18.7,36.6,69.1,0.4,27649,6.3,1
E01003128,Lambeth 008E,19.6,0.24,36.4,48.6,13.3,58,21.4,30.2,73.5,0.3,24560,5.9,1
E01003046,Lambeth 009A,24.1,0.23,55,44.6,10.2,73.1,19.1,28.5,71.2,0.3,23477,4.1,0
E01003048,Lambeth 009B,26.2,0.23,56.7,47.5,6.1,75.4,21.3,25.2,70,0.3,22780,4.8,0
E01003075,Lambeth 009C,27.2,0.21,47.9,48.4,12,69.2,25.7,23,69.6,0.3,22402,4.2,0
E01003182,Lambeth 009D,16.3,0.29,34.1,40.1,21,45.8,14.6,39.9,61.4,0.5,31326,2.9,0
E01003188,Lambeth 009E,22.7,0.27,48.2,42.1,15.2,67.5,22.1,31.4,65,0.4,24381,3.8,0
E01003088,Lambeth 010A,16.6,0.37,29.3,42.5,18.9,43.1,13,51.4,67.3,0.4,31258,5.2,1
E01003093,Lambeth 010B,29,0.27,42.8,43.8,6.2,68.2,18.9,31.6,69.8,0.3,25171,6.6,1
E01003094,Lambeth 010C,13.3,0.37,24.6,37.8,15.6,41.5,15.4,51.1,62.8,0.4,34149,6.1,1
E01003096,Lambeth 010D,5.7,0.46,15.2,39.6,21.3,18.1,7.3,64.4,69.4,0.4,44851,5.6,1
E01003127,Lambeth 010E,11.4,0.29,23.5,42,19.9,34.4,13,48.2,60.9,0.5,33787,6.7,1
E01003045,Lambeth 011A,25.1,0.26,53.1,48.2,7.1,77.7,22.2,27.3,67.7,0.4,24475,4.8,0
E01003047,Lambeth 011B,17.4,0.31,34.8,44.7,11.6,51.5,18,38.4,77,0.3,27548,7.4,1
E01003049,Lambeth 011C,22.5,0.26,44.4,43.8,13.9,52.8,18.9,31.8,66.9,0.4,24858,6.6,1
E01003059,Lambeth 011D,18.1,0.26,39.7,55.3,16,60.8,21.6,27.6,67,0.4,24154,6.5,1
E01003060,Lambeth 011E,22.3,0.23,46,53.5,12,68.2,25.8,22.9,70.7,0.3,22215,6.3,1
E01003061,Lambeth 011F,13.9,0.3,25.8,54.8,14.6,41.5,17.8,37.2,75.5,0.3,28900,7.2,1
E01003034,Lambeth 012A,10.7,0.28,17.6,36.4,22.3,33.1,11.5,55.6,54.4,0.6,40513,3.8,0
E01003035,Lambeth 012B,7.5,0.41,14.1,36.5,17.7,25.4,9.3,64.9,60.4,0.5,45925,5.9,1
E01003036,Lambeth 012C,11.9,0.28,19.8,33.6,23.2,31.8,12.4,56.7,54.3,0.5,44747,4.1,0
E01003090,Lambeth 012D,6.7,0.41,15.9,38.8,20.6,27.5,10.4,60.6,63.5,0.4,39166,5.9,1
E01003095,Lambeth 012E,9.7,0.31,15.7,35,26.2,25.4,8.4,60.2,50.3,0.6,47448,5.1,1
E01003037,Lambeth 013A,18.8,0.33,29,37.8,14,55.6,16,45.6,65,0.4,29391,4.1,0
E01003038,Lambeth 013B,3.9,0.31,6.6,30.4,32.9,11.9,5.5,72.2,45.9,0.7,59169,4.7,1
E01003039,Lambeth 013C,6.9,0.31,6,33.1,23.7,10.4,4.5,72.3,49.1,0.7,59551,5.9,1
E01003040,Lambeth 013D,8.4,0.27,15.1,31.2,23.2,22.9,9.1,62.4,51.2,0.6,49161,5.1,1
E01003042,Lambeth 013E,12.4,0.35,15.5,38.1,15.1,38.4,14.2,52,63.5,0.4,33606,5.4,1
E01003072,Lambeth 014A,9.4,0.14,9.8,26.7,27.2,20,11.4,60.5,43,0.8,51289,4.6,1
E01003073,Lambeth 014B,17.2,0.23,34.6,30.1,20.9,52.3,16.4,42.6,49.9,0.6,32464,3.8,0
E01003076,Lambeth 014C,10.9,0.3,20.7,47,16.9,28.1,9.4,49.4,68.8,0.4,33596,4.8,0
E01003077,Lambeth 014D,11.5,0.3,24.9,41.6,24.9,24.3,11,49.2,64,0.4,33187,4,0
E01003078,Lambeth 014E,8.8,0.18,10.1,29.4,36.6,14.5,11.8,56.4,40.5,0.8,55483,4.1,0
E01003019,Lambeth 015A,8.8,0.38,18.9,32.5,28.6,22.6,9.1,62.3,56.2,0.5,46615,3.9,0
E01003053,Lambeth 015B,6.5,0.39,15.6,34.7,25.6,16.8,8.4,67.1,58.9,0.5,47495,6.4,1
E01003054,Lambeth 015C,7.1,0.5,10.1,33.1,21.7,14.3,5.2,72.4,62.9,0.4,51196,6.4,1
E01003056,Lambeth 015D,10.9,0.42,22.2,39.2,17.9,31.6,9,61.7,65.2,0.4,37201,5.6,1
E01003058,Lambeth 015E,10.1,0.48,20.1,36.6,22.4,23.3,9,64.5,61.3,0.5,42631,5.6,1
