lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000907,Camden 001A,8.5,7.9,18,13.7,20,8.7,0.5,30223.00 ,4.6,0
E01000908,Camden 001B,6.2,8,17.7,14,15,9.4,0.5,32049.00 ,2.9,0
E01000909,Camden 001C,4.6,2.9,21.2,18.8,9.6,4.5,0.9,58469.00 ,3.3,0
E01000912,Camden 001D,5.1,9.2,14.6,15,18,8.2,0.4,31551.00 ,4.6,0
E01000913,Camden 001E,4.7,1.3,27.6,19.4,4.9,3.1,1.2,73024.00 ,2.8,0
E01000893,Camden 002A,4.8,1,20.6,34.1,3.7,2.7,0.8,64138.00 ,3.2,0
E01000894,Camden 002B,8.4,1.5,18.7,35.5,3,2.1,0.8,72739.00 ,3.9,0
E01000895,Camden 002C,8,3.1,12.5,37,9.5,5.2,0.5,53603.00 ,3.9,0
E01000896,Camden 002D,6.7,2.2,19.4,35.1,4.7,3,0.8,70351.00 ,4.4,0
E01000899,Camden 002E,5.9,1.4,22.2,24.5,6.2,2.5,1.1,76166.00 ,3,0
E01000910,Camden 003A,4.2,2.9,21.6,21.4,6.9,3,0.8,64961.00 ,4.7,1
E01000911,Camden 003B,6.7,7,22.6,15.8,15.5,5.3,0.6,37176.00 ,4.9,1
E01000921,Camden 003C,7.8,6.1,15.5,48.8,9.2,4.1,0.4,35597.00 ,5.9,1
E01000923,Camden 003D,7.2,5.4,24.8,17.7,13.9,7.6,0.5,45322.00 ,5.6,1
E01000928,Camden 003E,9.5,6.7,22.6,19.6,17.2,6,0.5,35656.00 ,5.7,1
E01000878,Camden 004A,16.9,4.1,20.5,29.3,7.7,3.1,1,56251.00 ,4.3,1
E01000879,Camden 004B,8.8,2.3,19.6,40,5.2,2.5,0.7,64715.00 ,4.9,0
E01000880,Camden 004C,12,2.2,22.9,41.7,4.9,1.8,0.8,69876.00 ,5.8,1
E01000884,Camden 004D,9.5,2.2,25.8,30.8,4.9,2.2,1.2,71430.00 ,2.7,0
E01000885,Camden 004E,10.6,1.3,15.5,27.4,10.8,3.5,1.3,78339.00 ,2.6,2
E01000871,Camden 005A,12.3,4.7,26.4,26.7,8.8,3.8,0.9,50050.00 ,3.9,0
E01000872,Camden 005B,14.5,7.4,15.8,58.6,11.2,4.2,0.4,32194.00 ,5.1,1
E01000873,Camden 005C,6.8,4.6,25.6,33.4,6.6,3.8,0.7,54005.00 ,3.8,0
E01000874,Camden 005D,11.8,2.3,28.3,38.8,4.4,2.1,0.6,57465.00 ,5.9,1
E01000877,Camden 005E,8.6,3.2,23.4,46.8,6.3,3.6,0.6,54472.00 ,5,1
E01000886,Camden 006A,5.5,2.6,29.9,25.7,7.8,4.2,0.7,50302.00 ,4,0
E01000887,Camden 006B,9.7,2.7,24.6,35.5,10,5.2,0.5,44663.00 ,4.8,1
E01000888,Camden 006C,8.7,4.9,19.4,27,11.6,5.6,0.6,43520.00 ,4.2,0
E01000892,Camden 006D,11.3,5.8,17.7,28.4,9.5,5.6,0.6,43769.00 ,4.8,1
E01000903,Camden 006E,13.2,5.1,16.5,24.5,11.5,6,0.5,43891.00 ,3.8,0
E01000889,Camden 007A,14.8,11.7,10.8,10,26.4,11.1,0.4,25438.00 ,3.6,0
E01000890,Camden 007B,13.9,14.6,6,7,30.6,13,0.3,20034.00 ,4.1,0
E01000891,Camden 007C,17.7,15.7,8,16.1,29.2,11.1,0.3,19956.00 ,3.2,0
E01000901,Camden 007D,23.6,13.8,11.1,13.4,22.3,7.3,0.3,23151.00 ,4.6,0
E01000922,Camden 007E,7.1,10.8,13.2,26.5,14.3,4.7,0.4,30870.00 ,5.9,1
E01000927,Camden 007F,8.6,5.6,23.4,27.2,12.8,4.7,0.5,43205.00 ,6.7,1
E01000881,Camden 008A,16.4,5.2,11.6,54.1,5.1,3.5,0.6,48802.00 ,6.4,1
E01000882,Camden 008B,9.9,1.4,20.5,45.3,3.2,1.3,0.7,66131.00 ,5.4,1
E01000883,Camden 008C,24.1,2.3,14.4,54.2,6.8,2.9,0.5,50701.00 ,6.8,1
E01000897,Camden 008D,11,0.9,20.9,35,4.6,2.4,0.8,72916.00 ,4.6,1
E01000898,Camden 008E,19.5,8.8,8.4,31.6,10,5.5,0.4,44230.00 ,5,1
E01000866,Camden 009A,9.5,9.1,15.9,22,14.3,7.6,0.4,33436.00 ,6.3,1
E01000870,Camden 009B,7.6,10.3,20.5,19.6,15.8,7.6,0.5,31544.00 ,5.7,1
E01000924,Camden 009C,8.2,5.3,20.5,32.8,8.5,4.9,0.5,40620.00 ,5,1
E01000925,Camden 009D,18.7,19,11.6,16.1,25.4,7.9,0.3,24857.00 ,5.3,1
E01000926,Camden 009E,20.4,7.6,15.5,39,10.8,5.1,0.4,32990.00 ,5,1
E01000969,Camden 010A,13.7,2.9,21.3,51.9,4.1,2.5,0.6,54854.00 ,6.2,1
E01000970,Camden 010B,8.2,3.1,23.1,53.4,4.4,2.8,0.4,48915.00 ,5.8,1
E01000971,Camden 010C,9.9,1.9,25.1,37.4,8,3.9,0.7,55958.00 ,4.9,1
E01000972,Camden 010D,15.8,16.3,6.3,35.6,15,8.7,0.4,30164.00 ,6.8,1
E01000973,Camden 010E,16.5,10.6,14.1,46.6,10.9,5.9,0.4,33620.00 ,6.2,1
E01000842,Camden 011A,9.2,2.4,18.1,36.6,4.1,2.5,0.6,62118.00 ,4.1,0
E01000844,Camden 011B,14.2,2.1,19.4,49.1,4.6,3,0.6,61186.00 ,4.4,0
E01000848,Camden 011C,10.1,1.7,20.2,38.8,7.4,2.8,0.6,60261.00 ,4.3,0
E01000849,Camden 011D,12.5,2.8,18.2,47.2,5.5,2.9,0.4,50928.00 ,4.7,1
E01000900,Camden 012A,8.7,11,17.4,24,19.1,7.9,0.4,31182.00 ,4.3,0
E01000902,Camden 012B,17.6,15,10.2,17.3,21.9,7.9,0.4,24571.00 ,3.2,0
E01000904,Camden 012C,12.6,11.1,13.2,24,18.1,7.2,0.4,29190.00 ,6.7,1
E01000905,Camden 012D,20.4,18.9,7.1,13.4,29.2,10,0.3,21024.00 ,5,1
E01000906,Camden 012E,9.3,4.3,20.9,35.7,7.2,4.6,0.6,48841.00 ,4.7,1
E01000875,Camden 013A,13.4,8.6,17.3,52.2,9.4,5.5,0.4,33219.00 ,4.9,1
E01000876,Camden 013B,12.8,15.7,18,29.1,17.1,8.5,0.4,28093.00 ,4.6,1
E01000931,Camden 013C,11.7,15.4,13.6,37,20.5,8.8,0.3,25729.00 ,5.7,1
E01000932,Camden 013D,12.6,8.3,18.9,37.7,9.9,6.1,0.4,37270.00 ,6.1,1
E01000974,Camden 013E,11.8,15.2,16.3,37.3,15.4,7.1,0.4,29982.00 ,5.8,1
E01000843,Camden 014A,12.8,7,13.9,38.1,8.3,3.7,0.5,44503.00 ,4,0
E01000845,Camden 014B,11,4.4,21.5,38.2,6.8,4.5,0.6,53278.00 ,3.7,0
E01000846,Camden 014C,14.1,17.5,10.2,14.1,18.3,6.3,0.6,34028.00 ,3.4,0
E01000847,Camden 014D,19.9,11.1,14.6,25.6,13.8,5.2,0.7,35289.00 ,4.6,1
E01000864,Camden 015A,9.4,8.2,19.8,34.7,10.7,5.3,0.5,38957.00 ,3.2,0
E01000865,Camden 015B,16.6,3.6,22.8,27.7,5.5,3.5,0.5,47904.00 ,4.6,0
E01000867,Camden 015C,22.2,10,11.9,33.8,19.7,7.2,0.3,26792.00 ,6.9,1
E01000868,Camden 015D,17.6,25.8,8.4,12.7,23.1,8.3,0.4,24521.00 ,2.4,2
E01000869,Camden 015E,9,8.9,17.7,39.1,11.1,5.3,0.4,34563.00 ,4.3,0
E01000962,Camden 016A,15.1,3.1,23.6,47.7,4.2,2.2,0.6,57954.00 ,6.7,1
E01000964,Camden 016B,12.6,5.3,19.1,33.4,8,4.2,0.6,45755.00 ,7,1
E01000965,Camden 016C,14,5.1,21.5,38.9,7.6,3.5,0.5,44410.00 ,6.2,1
E01000966,Camden 016D,9.7,0.9,26.5,42.1,4.6,2.1,0.8,63943.00 ,5.6,1
E01000968,Camden 016E,12.6,4.7,20.7,41.6,8.4,4.7,0.5,46075.00 ,6.3,1
E01000960,Camden 017A,23.9,5.1,15.2,45.9,8.9,3.6,0.5,41451.00 ,7,1
E01000961,Camden 017B,24.5,11.3,13.3,27.5,16.7,6.3,0.5,30385.00 ,6.8,1
E01000963,Camden 017C,30.7,5.5,12,47.7,11.8,4.6,0.7,52918.00 ,6.3,1
E01000967,Camden 017D,13.1,3.8,18.9,30.2,10.7,3.1,1,60568.00 ,3.3,0
E01000857,Camden 018A,9.5,2.8,17.3,30.8,9.9,5.7,0.7,47797.00 ,3.5,0
E01000858,Camden 018B,15.3,14.9,10.2,22.5,21.2,9.2,0.4,27282.00 ,5.9,1
E01000859,Camden 018C,4.8,2,20,38.2,5.4,3.6,0.7,61120.00 ,3.6,0
E01000860,Camden 018D,6.9,4,8.7,24.1,16.1,6.7,0.4,44797.00 ,3,0
E01000862,Camden 018E,6.8,3,24.1,32.8,4.3,2.5,0.8,62468.00 ,5.2,1
E01000856,Camden 019A,21.8,10.9,11,28.8,17.4,7.5,0.4,27044.00 ,7.2,1
E01000861,Camden 019B,14.7,8.3,16.2,39.4,11.1,5.4,0.3,30135.00 ,7.4,1
E01000957,Camden 019C,14.9,14.9,13.5,32.4,15.5,7.1,0.4,28624.00 ,4.6,0
E01000958,Camden 019D,19.9,12.5,9.1,29,15.6,5.5,0.3,27133.00 ,7,1
E01000959,Camden 019E,23.9,12.7,8.7,18.3,27.5,7.9,0.3,22347.00 ,7.3,1
E01000929,Camden 020A,14.9,16.4,10.1,20,22.1,9.1,0.4,26403.00 ,4.8,1
E01000930,Camden 020B,10.5,14.1,10,35.7,22.2,8.8,0.2,24061.00 ,6.7,1
E01000933,Camden 020C,10.4,5.4,19.2,45.8,9.7,5.6,0.5,37278.00 ,6.7,1
E01000934,Camden 020D,22.9,15.1,8.3,27.3,20.8,8,0.3,25033.00 ,4.4,1
E01000935,Camden 020E,13.1,22.8,8.3,17.8,18.6,7,0.4,25247.00 ,3.8,0
E01000863,Camden 021A,9.9,7.6,10.5,52.9,8.7,4.2,0.3,40815.00 ,7.2,1
E01000946,Camden 021B,18.1,7.5,8.5,33.3,13.2,5.8,0.5,38675.00 ,6.4,1
E01000947,Camden 021C,17.1,10.8,12.4,48.3,13.5,5.8,0.3,29657.00 ,7.1,1
E01000948,Camden 021D,9.7,7.8,14.7,30.7,14.7,6.7,0.5,40748.00 ,6.5,1
E01000952,Camden 022A,24.8,15,8.3,21.9,24.1,9.6,0.3,24012.00 ,7.4,1
E01000953,Camden 022B,32.5,13.1,11.2,15.4,26.8,11.8,0.3,23027.00 ,7.2,1
E01000954,Camden 022C,25.9,19.3,3.4,10,30.5,8.1,0.3,21566.00 ,7.4,1
E01000955,Camden 022D,22.6,13.7,3.8,8.5,27.7,9.2,0.3,22567.00 ,7.9,1
E01000956,Camden 022E,35.4,13.8,7.6,27,17.8,7.1,0.3,25464.00 ,8,1
E01000944,Camden 023A,28.8,9.3,7.5,30.3,17.8,6.2,0.4,23637.00 ,6.6,1
E01000945,Camden 023B,33.9,10.6,7.9,39.3,11.3,4.3,0.3,27236.00 ,8,1
E01000949,Camden 023C,21.9,10.5,3.5,10.7,22.6,5.2,0.3,29196.00 ,5.2,1
E01000950,Camden 023D,38.8,12.1,7.8,17.5,26.9,8.8,0.3,20176.00 ,7.3,1
E01000951,Camden 023E,31.8,12.1,8.5,16.9,24.8,7.6,0.3,21727.00 ,7.2,1
E01000936,Camden 024A,25.9,15.2,9.7,25.7,11.4,5.4,0.4,28382.00 ,6.9,1
E01000938,Camden 024B,25.3,18.4,5.3,39.1,11.3,5,0.2,26281.00 ,8,1
E01000939,Camden 024C,44.8,13.4,5.6,20.4,26.1,7,0.3,23517.00 ,8,1
E01000940,Camden 024D,29.4,9.4,4.5,22.3,17.3,6.3,0.2,28095.00 ,8,1
E01000853,Camden 025A,20.7,11.6,7.4,17.7,22,10.3,0.2,28846.00 ,8,1
E01000937,Camden 025B,31.6,7.8,8.2,51.4,7.1,3.9,0.2,28092.00 ,7.6,1
E01000941,Camden 025C,31,12.3,5.4,11.1,24.3,9.8,0.3,23407.00 ,8,1
E01000942,Camden 025D,27.5,3.7,10.6,43.6,4.2,2.4,0.2,32028.00 ,8,1
E01000943,Camden 025E,21.8,5.8,10.6,45.3,6.9,4.3,0.2,31578.00 ,8,1
E01000850,Camden 026A,22.6,4.3,8.7,52.9,4.7,3.8,0.3,44181.00 ,8,1
E01000851,Camden 026B,25.1,5,12.2,54.1,3.9,2.6,0.3,37265.00 ,8,1
E01000852,Camden 026C,29.9,3.6,5.8,47.5,6.5,3.2,0.2,32650.00 ,8,1
E01000854,Camden 026D,33.6,12.5,11.7,38,9,5.2,0.3,29258.00 ,8,1
E01000915,Camden 027A,33.3,9.2,9.1,21.7,22.1,8.4,0.3,28527.00 ,8,1
E01000916,Camden 027B,19.9,7.8,15.4,30.6,12.2,6.2,0.3,34001.00 ,8,1
E01000917,Camden 027C,26.6,12.8,6.5,13.9,19.5,9.4,0.2,24972.00 ,8,1
E01000920,Camden 027D,17.3,6.3,11.3,40.5,12,5,0.4,37883.00 ,7.5,1
E01000855,Camden 028A,17.3,3.7,14.8,42.2,4.6,3.6,0.2,35286.00 ,7.9,1
E01000914,Camden 028B,19.1,5.7,13.2,46.4,7.6,4.5,0.3,38253.00 ,8,1
E01000918,Camden 028C,21.1,6.2,10.9,30.8,11.2,5.9,0.3,34647.00 ,8,1
E01000919,Camden 028D,25.6,5.8,11.4,37.4,9.4,4.5,0.3,35740.00 ,8,1
E01000001,City of London 001A,8.7,0.8,20.3,30.1,1.9,2,0.5,58347.00 ,8,1
E01000002,City of London 001B,6.6,0.3,25.7,26.4,2.3,2.7,0.5,57159.00 ,8,1
E01000003,City of London 001C,12.5,3.3,17.5,21.7,13,6.2,0.2,34387.00 ,7.3,1
E01000005,City of London 001E,27.8,10.2,4.7,21.6,24.4,7.3,0.3,24000.00 ,8,1
E01032739,City of London 001F,15.5,0.9,13,57.2,2,0.6,0.3,53017.00 ,7.9,1
E01032740,City of London 001G,10.3,2.2,16.4,59.1,1.7,1.5,0.4,52427.00 ,8,1
E01001808,Hackney 001A,3.4,4.1,11.1,60,35.1,2.6,0.5,36364.00 ,5.8,1
E01001809,Hackney 001B,5.3,9.7,11.8,41,30.2,3.3,0.5,33867.00 ,5.6,1
E01001814,Hackney 001C,8.3,12.5,14.8,37.4,24.6,4.4,0.5,32964.00 ,5.6,1
E01001823,Hackney 001D,5.5,15.8,12.8,29.6,31.2,4.8,0.6,32452.00 ,2.3,2
E01001825,Hackney 001E,2.1,4.9,17.5,48.8,40.7,3.1,0.6,40095.00 ,3.7,0
E01001714,Hackney 002A,11.6,26,10.3,19.6,23.2,8.1,0.4,25992.00 ,6.5,1
E01001811,Hackney 002D,13.4,30.1,5.4,16.6,34.6,10.4,0.4,21530.00 ,4.5,1
E01001813,Hackney 002E,13.8,29,5.1,20.6,24.7,9.9,0.3,21184.00 ,6.5,1
E01033701,Hackney 002F,11.2,31.3,6.2,17.9,27.3,11.4,0.3,21621.00 ,6.1,1
E01001799,Hackney 003A,4.6,8.2,18.4,43.5,29.6,2.3,0.5,41561.00 ,4,0
E01001802,Hackney 003B,8.3,13.1,14.4,24.4,29.6,6.8,0.4,30119.00 ,3.3,0
E01001804,Hackney 003C,6.9,8.8,16.4,39,32.5,5,0.5,37894.00 ,2.7,0
E01001807,Hackney 003D,6.3,19.7,14.4,33.2,24.1,5.6,0.5,32042.00 ,4.3,0
E01001812,Hackney 003E,4,13.2,13.8,30.3,28.8,6.4,0.4,31591.00 ,3.4,0
E01001725,Hackney 004A,11.1,14.4,13.6,39.4,29.8,4.5,0.5,36415.00 ,4.8,1
E01001726,Hackney 004B,15,30.3,12.5,24.8,24.7,5.2,0.4,25802.00 ,5.6,1
E01001800,Hackney 004C,5.8,20.3,5.4,26.3,33.1,7.3,0.3,26799.00 ,5.1,1
E01001824,Hackney 004D,7.5,21.8,13.2,25.2,32.9,6.3,0.4,27054.00 ,3,0
E01001826,Hackney 004E,6,17,10.8,35,34.5,6.4,0.4,28359.00 ,4.2,0
E01001723,Hackney 006A,20.3,9.7,18.3,44.3,19.9,5,0.5,41002.00 ,5.2,1
E01001724,Hackney 006B,15.7,11.2,20.4,46,12.3,4.2,0.3,35605.00 ,6,1
E01001727,Hackney 006C,13,12.7,18.3,40.5,23,3.6,0.6,41946.00 ,3.5,0
E01001768,Hackney 006D,14.3,19.3,24.1,36.3,14.9,5.7,0.6,39934.00 ,5.5,1
E01001769,Hackney 006E,11.6,22.6,17.8,31.1,14.7,4.5,0.5,38627.00 ,6,1
E01001715,Hackney 007A,7.2,10.9,19.5,55.3,6.4,3.2,0.4,44118.00 ,7,1
E01001716,Hackney 007B,13.4,19.7,13.6,37.6,15.3,6.6,0.4,29877.00 ,7.3,1
E01001717,Hackney 007C,15.5,13.3,17.8,23,15.9,6.7,0.7,40448.00 ,4.3,0
E01001718,Hackney 007D,9.9,5.1,23.8,55.6,6.8,2.4,0.4,51575.00 ,7.5,1
E01001719,Hackney 007E,9.4,24.4,11.8,21.7,23.5,8,0.4,28548.00 ,4.5,0
E01001720,Hackney 007F,6.6,8.2,23.7,50.1,6.3,3.5,0.5,50911.00 ,5.3,1
E01001742,Hackney 008A,10.9,20.8,21.8,18.8,16.2,7.6,0.4,35330.00 ,3.1,0
E01001801,Hackney 008B,5.8,11.8,15.8,21.3,31.6,7.4,0.5,33056.00 ,2.7,0
E01001803,Hackney 008C,4.9,6.4,24.5,36,13.4,4.2,0.6,47091.00 ,3.1,0
E01001806,Hackney 008D,5.6,19.5,19.9,21.8,16.5,7.4,0.5,36785.00 ,3.3,0
E01001741,Hackney 009A,9,8.9,34.1,25.9,11.1,4.6,0.6,54378.00 ,3.7,0
E01001805,Hackney 009B,9.8,12.3,20.2,45.1,12,4.4,0.5,42572.00 ,5.6,1
E01001829,Hackney 009C,7.8,7.9,35.9,28.6,9.3,3.8,0.6,57683.00 ,5.1,1
E01001831,Hackney 009D,11.5,15.4,17.3,42.6,14.7,5.2,0.4,39216.00 ,6.5,1
E01001832,Hackney 009E,18.9,14.9,21.5,36.4,14.6,6,0.5,38736.00 ,5.9,1
E01001764,Hackney 010A,13.8,24.5,19,25,17.6,5.2,0.5,30468.00 ,5.3,1
E01001765,Hackney 010B,14.9,40.2,6.1,8.9,29.6,9.1,0.4,22782.00 ,4.2,0
E01001767,Hackney 010D,15.2,22.1,20.1,34.7,15.7,6.1,0.5,33605.00 ,5.2,1
E01001770,Hackney 010E,13.8,32.3,13.4,22.4,24.7,8.1,0.4,25907.00 ,6.4,1
E01033703,Hackney 010F,12.8,23.9,13.3,43,20,9.6,0.3,27000.00 ,6.2,1
E01033713,Hackney 010G,13.5,20.4,22.3,37.3,17.8,6.8,0.4,29701.00 ,5.3,1
E01001792,Hackney 011A,24.7,20.6,20.8,22.6,18.9,8,0.6,32767.00 ,5.6,1
E01001793,Hackney 011B,14.8,25.2,21.8,30.9,16.4,4.7,0.5,34429.00 ,4.1,0
E01001794,Hackney 011C,21.9,16.3,23.5,31.9,22.2,10.5,0.6,40167.00 ,5.7,1
E01001795,Hackney 011D,15.6,18.6,22.8,41.7,14.1,5.1,0.5,36561.00 ,5.3,1
E01001796,Hackney 011E,13.2,23.3,18.2,42.2,14.6,6.2,0.4,29969.00 ,4.2,1
E01001736,Hackney 012A,6.2,16.2,26,31.8,13.2,5.3,0.5,45623.00 ,3.4,0
E01001737,Hackney 012B,8.1,11.6,30.4,27.2,9.6,4,0.5,51069.00 ,3.2,0
E01001738,Hackney 012C,4.4,11.1,22.2,33.4,13.5,5.9,0.5,43760.00 ,4,0
E01001739,Hackney 012D,4.6,12,25.8,27.1,11.2,4.6,0.5,48840.00 ,4,0
E01001786,Hackney 013A,8.6,54,9.9,11.7,24.4,6.5,0.4,23792.00 ,3.3,0
E01001787,Hackney 013B,7.8,41.2,11.9,8.9,32.2,10.6,0.5,22273.00 ,2.1,2
E01001788,Hackney 013C,11.2,43.1,9.3,16,30.3,9.2,0.4,23435.00 ,2,2
E01001790,Hackney 013D,10.2,52.9,7.3,14.2,23.1,7.8,0.4,22805.00 ,3,0
E01001740,Hackney 014A,12.6,31.1,9.5,14.3,27.4,8.7,0.3,25346.00 ,4.3,0
E01001747,Hackney 014B,8,19.1,21,41.4,16.6,6.4,0.4,34800.00 ,6.3,1
E01001830,Hackney 014C,8.2,26.2,10.1,26.6,18.8,8.2,0.3,28306.00 ,5.2,1
E01001833,Hackney 014D,11.5,24.3,20.5,28.8,16.3,6.6,0.4,32918.00 ,4.6,1
E01001834,Hackney 014E,9.4,20.2,16.6,39.9,12.4,5.7,0.4,37766.00 ,4.8,1
E01001835,Hackney 014F,12.5,15.4,35.2,25.7,11.9,4.3,0.5,46214.00 ,5,1
E01001733,Hackney 015A,11,20.5,26,33.2,16.7,6,0.5,34150.00 ,4.4,0
E01001785,Hackney 015B,10.6,27.6,23.7,22.1,21.8,7.8,0.5,29862.00 ,4.1,0
E01001789,Hackney 015C,11.3,26.4,24.5,23.8,17.2,6.2,0.5,35046.00 ,2.6,2
E01001791,Hackney 015D,13.9,34.8,23.4,13.8,24.6,6.9,0.6,28238.00 ,3,0
E01001745,Hackney 016A,10.2,34.7,11.4,27.2,20.1,6.5,0.3,26487.00 ,4.6,1
E01001746,Hackney 016B,12.4,38.9,4.7,9.2,24.2,4.4,0.4,25124.00 ,4,0
E01001757,Hackney 016C,19.7,45.4,8.9,14.7,20,5.4,0.4,24745.00 ,6.8,1
E01001758,Hackney 016D,13,33.5,11.4,23.1,21.6,7.2,0.3,26405.00 ,7,1
E01001759,Hackney 016E,9.3,29.1,17.2,24.4,17.8,6.8,0.4,30212.00 ,6.5,1
E01001761,Hackney 016F,10.4,27.8,11.7,21.4,20.6,9.1,0.3,28031.00 ,7,1
E01001731,Hackney 017A,11.4,30,11.1,27.7,16.5,5,0.3,27518.00 ,6.7,1
E01001734,Hackney 017B,9.3,25.4,14,46.2,15.8,6,0.3,30080.00 ,6.8,1
E01001760,Hackney 017C,10.5,26.8,11.6,40,19,6.5,0.3,29351.00 ,7.3,1
E01001762,Hackney 017D,7.5,17.1,18.4,39.8,13.2,5.6,0.4,35300.00 ,6.7,1
E01001846,Hackney 018A,9.9,38.6,12.3,15.5,28.8,8.8,0.5,26210.00 ,3.9,0
E01001847,Hackney 018B,10.9,28.8,18.8,22.7,24.2,8.9,0.5,25625.00 ,4.1,0
E01001848,Hackney 018C,4.8,31.4,16,20.3,24.2,6.7,0.5,29023.00 ,3.8,0
E01001849,Hackney 018D,9.5,29.1,16.4,34.1,16.6,4.5,0.5,28381.00 ,4,0
E01001729,Hackney 019A,11.6,42.6,9.7,16.6,24.1,6.9,0.3,23760.00 ,5,1
E01001730,Hackney 019B,11.5,34.9,7,14.7,30,7.7,0.3,22693.00 ,5.3,1
E01001732,Hackney 019C,10.8,41.6,8,12.5,25.1,7.3,0.4,23028.00 ,5.5,1
E01001735,Hackney 019D,7.4,26.5,24.1,17.9,22,6.8,0.5,30975.00 ,6.5,1
E01001838,Hackney 019E,13.9,39.7,6.5,7.4,30,8,0.3,21812.00 ,5.9,1
E01001850,Hackney 019F,10.3,47.2,6.7,13.6,26.3,7.5,0.4,22124.00 ,4.1,0
E01001748,Hackney 020A,10.5,19.4,12.9,39.5,12.8,5.6,0.3,35122.00 ,6.8,1
E01001749,Hackney 020B,6.3,15.8,24.8,27.6,10.2,4.5,0.5,45818.00 ,6.4,1
E01001763,Hackney 020C,8.4,27.2,17,24.4,16.3,7.2,0.4,34916.00 ,5.8,1
E01001816,Hackney 020D,5.6,22.8,24.8,17.8,16.5,4.8,0.6,38295.00 ,3.6,0
E01001819,Hackney 020E,7.6,16,20.9,18,18.1,7.7,0.6,44092.00 ,4.6,1
E01001744,Hackney 021B,6.8,26.6,20.9,20,20.6,6.4,0.5,32908.00 ,6.3,1
E01001750,Hackney 021C,11.3,17.8,16.9,27.7,17.8,6.3,0.4,36264.00 ,5.1,1
E01001751,Hackney 021D,3.9,4.7,30.6,34.8,7,2.5,0.7,65423.00 ,5.5,1
E01001756,Hackney 021E,6.5,9.7,19,44.6,11.1,4.4,0.4,45231.00 ,6.8,1
E01033698,Hackney 021F,13.3,27.7,5.1,21.2,24.9,11.8,0.3,25630.00 ,5.2,1
E01033699,Hackney 021G,12.6,17.5,14.4,53.2,11,4.2,0.3,34740.00 ,6.5,1
E01033700,Hackney 021H,10.5,15.3,13.5,53.8,11.6,4.9,0.2,38434.00 ,6.9,1
E01033707,Hackney 021I,11.7,22.6,5.5,49,15.3,6.3,0.4,29485.00 ,5.4,1
E01001836,Hackney 022A,5.4,21.4,16.1,22.5,19.9,5.7,0.5,35849.00 ,3,0
E01001840,Hackney 022B,13,32.9,14.4,11,28,8.8,0.4,26438.00 ,4.7,1
E01001841,Hackney 022C,4.8,15.2,20,14.5,21.6,8.3,0.5,36262.00 ,2.8,0
E01001844,Hackney 022D,8.8,16.5,18.2,24.4,15.1,4,0.5,40816.00 ,4.2,0
E01001845,Hackney 022E,7.4,34.8,4.9,9.1,31.4,10.9,0.4,25452.00 ,3.4,0
E01001837,Hackney 023B,8.8,8.1,29.5,26.8,10.7,3.8,0.6,50099.00 ,4.8,1
E01001839,Hackney 023C,8.7,17.6,14.8,42.7,10.1,3.7,0.3,32109.00 ,6.4,1
E01001842,Hackney 023D,11.6,32.2,14.1,14.4,20.2,6.7,0.4,28214.00 ,5.3,1
E01001843,Hackney 023E,9.5,24.8,21.5,14.7,19.9,7.2,0.6,39538.00 ,3.7,0
E01033704,Hackney 023F,8,12.9,17,42.9,6.6,2.2,0.4,42930.00 ,6.8,1
E01033712,Hackney 023G,10.7,20.3,12.6,34,13.3,4.4,0.4,30447.00 ,5.6,1
E01001772,Hackney 024A,12.8,38.8,8.3,9.2,25.4,10.4,0.4,23322.00 ,5,1
E01001774,Hackney 024B,11.3,21.7,17.1,33.7,15.9,4.3,0.4,30013.00 ,5,1
E01001775,Hackney 024C,16.7,27.8,12.5,15,21.9,8,0.3,24186.00 ,3.9,0
E01001815,Hackney 024D,13.8,33,15,13.9,23.7,8.9,0.5,26138.00 ,4,0
E01001820,Hackney 024E,8.5,36,13.5,12.9,26.3,9.2,0.4,27096.00 ,3.9,0
E01001821,Hackney 024F,7.3,33.2,10.2,11.8,27.1,9.2,0.3,24488.00 ,4.1,0
E01001752,Hackney 025A,10.2,21.4,16.4,29.3,11,4.2,0.4,39603.00 ,3.9,0
E01001753,Hackney 025B,8.5,39.8,4.7,12.7,24.6,7.7,0.4,24817.00 ,3.7,0
E01001754,Hackney 025C,10.1,21,11.6,34.4,17.6,5.8,0.4,29628.00 ,4.7,1
E01001755,Hackney 025D,10,28,8,17.3,23.7,8.1,0.3,26469.00 ,4.3,0
E01001773,Hackney 025E,14.9,25,7.2,26.9,19.1,7.5,0.4,27817.00 ,5.2,1
E01001776,Hackney 025F,10.4,30.6,8.2,14.7,28.2,11,0.3,23861.00 ,5.4,1
E01001779,Hackney 026A,14.4,22.9,10.2,20.7,19,7,0.3,29262.00 ,6,1
E01001781,Hackney 026B,10.9,23.7,5.7,19.2,26.4,8.7,0.3,22474.00 ,5.2,1
E01001782,Hackney 026C,10.7,12.2,19.9,31.9,15,5.1,0.4,39996.00 ,3.5,0
E01001783,Hackney 026D,11,34.6,7.2,13.9,24.6,7.7,0.3,23965.00 ,5.8,1
E01001777,Hackney 027B,10.7,23.7,9.5,38,16.2,5.6,0.3,27870.00 ,6,1
