lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01003558,Newham 008B,58,17.9,16.5,48.9,23.8,8.7,0.5,24266.00 ,4.2,0
E01003570,Newham 008C,67.8,11.1,23.4,42.6,22.6,6.2,0.6,24000.00 ,4.1,0
E01003571,Newham 008D,77.3,10.2,21,44.4,22.6,6.1,0.6,25048.00 ,3.7,0
E01003572,Newham 008E,70.1,12.8,20.4,38.3,21.1,5.2,0.7,26968.00 ,3.3,0
E01003551,Newham 009A,34,22.3,18.1,44.2,20.2,5,0.5,28561.00 ,3.3,0
E01003553,Newham 009B,29.4,25.3,12.6,34.2,16.8,6.3,0.5,24633.00 ,3.4,0
E01003554,Newham 009C,29.1,16.7,18.9,39.5,17.6,6.3,0.6,33836.00 ,3.1,0
E01003559,Newham 009D,25,18.2,15.2,43.3,12.3,3.8,0.4,37755.00 ,5,0
E01003529,Newham 010A,84,6.7,23.3,39.9,18.3,6.1,0.7,27171.00 ,5,1
E01003530,Newham 010B,81.8,5,27.4,34,19.3,5.9,0.7,27121.00 ,3.5,0
E01003531,Newham 010C,78,6.4,17.2,37.2,20.5,6.7,0.7,26098.00 ,5.3,1
E01003532,Newham 010D,80.7,7,21.1,33.9,17.9,5.6,0.7,28281.00 ,5.4,1
E01003534,Newham 010E,75.5,10.1,27.1,42.9,20.2,5.9,0.7,25469.00 ,4.5,1
E01003533,Newham 011A,73.7,9.8,25.7,29.3,22.6,7.2,0.8,26157.00 ,4.2,0
E01003560,Newham 011B,76.4,9.9,28.8,34.8,20.7,4.9,0.9,24668.00 ,2.8,0
E01003563,Newham 011C,70.2,11.5,27.9,44.4,23.6,4.2,0.7,25161.00 ,2.6,0
E01003588,Newham 011D,77.5,10.1,25.3,37.2,20.9,6.3,0.8,23919.00 ,3.6,0
E01003589,Newham 011E,66.9,9.8,25.6,44.3,19.2,4.5,0.7,26249.00 ,3.4,0
E01003616,Newham 012A,26.1,25.7,16.1,39.1,15.2,6.3,0.5,26332.00 ,5.2,1
E01003617,Newham 012B,28.5,22.3,12.4,40.6,15.6,5.3,0.3,32879.00 ,7.8,1
E01003618,Newham 012C,27.8,14.6,17.3,47.9,13,4.4,0.4,34392.00 ,6.1,1
E01003619,Newham 012D,27.6,23.6,8.1,34.6,13.2,4.5,0.3,29849.00 ,7.5,1
E01003615,Newham 013C,28.1,24.3,16,37.3,17.7,5,0.5,27898.00 ,3.6,0
E01033578,Newham 013E,27.8,22.3,8.1,60.2,7.8,3.3,0.4,34473.00 ,4.5,0
E01033579,Newham 013F,34,14.2,10.2,59.2,5.4,2.2,0.4,40080.00 ,5,1
E01033583,Newham 013G,30,20.7,13.8,41.6,15.5,5,0.5,31969.00 ,5.9,1
E01033586,Newham 013H,24.6,24.4,16.2,28.5,17.7,5.2,0.6,30638.00 ,4.1,0
E01003562,Newham 014A,78.2,9.4,22.4,42.2,19.6,5.6,0.6,25441.00 ,3.5,0
E01003564,Newham 014B,75.8,8.8,23.8,42.9,19.3,5.4,0.6,26116.00 ,4.3,0
E01003565,Newham 014C,79.7,7.5,19.2,46.8,18.3,5,0.5,25993.00 ,4.6,1
E01003566,Newham 014D,72.9,10.8,13.6,40,20.3,6,0.5,25287.00 ,5,1
E01003625,Newham 015A,62.5,9.4,26.2,39.3,19.5,5.3,0.7,25381.00 ,2.3,2
E01003626,Newham 015B,76.4,5.4,30,43.6,16.7,4,0.8,28689.00 ,3.6,0
E01003627,Newham 015C,74,8.5,24.1,37.5,18.2,4.5,0.8,25956.00 ,4.6,1
E01003628,Newham 015D,73.2,5.8,34.3,34.8,17.4,5.3,0.8,30110.00 ,3.6,0
E01003629,Newham 015E,75.9,5.1,22.9,49.3,18.8,5.6,0.6,25354.00 ,5.6,1
E01003552,Newham 016A,43,22.3,20,37.3,19.1,5.2,0.6,29086.00 ,3.1,0
E01003596,Newham 016B,47.3,17.6,20.3,35.5,21.8,5.6,0.6,28242.00 ,3.5,0
E01003597,Newham 016C,57.1,15.8,22.5,36.4,24,5.8,0.7,26559.00 ,3.8,0
E01003635,Newham 016D,31.3,16.5,20.5,34.9,18,4.7,0.8,32656.00 ,3.3,0
E01003568,Newham 017A,77.1,8.8,21.9,34,19.4,6.1,0.7,26399.00 ,4.3,0
E01003569,Newham 017B,78.6,9.4,18.7,50.5,19.9,5.5,0.6,24437.00 ,5,1
E01003573,Newham 017C,76.5,10.8,24.7,37.8,23.2,6,0.7,25853.00 ,4,0
E01003574,Newham 017D,66.4,13.7,18.9,39.3,22,6.6,0.6,25313.00 ,3.5,0
E01003520,Newham 018A,75,7.1,17.3,45.5,20.1,6.3,0.4,25550.00 ,5.6,1
E01003521,Newham 018B,72.2,4.9,19.7,55.5,14.6,4,0.6,26997.00 ,6.4,1
E01003522,Newham 018C,72.1,8.4,25.3,41.6,18.9,4.9,0.5,26235.00 ,3.7,0
E01003525,Newham 018D,69.7,10.8,22.2,45.9,17.9,4.7,0.6,27468.00 ,4.6,1
E01003526,Newham 018E,63.5,13.1,29.3,31.8,21.3,6.4,0.7,26005.00 ,5,1
E01003488,Newham 019A,42.7,26.5,9.6,14.8,29.8,9.2,0.5,22413.00 ,3.8,0
E01003489,Newham 019B,56.7,17.5,12.3,27.5,26.7,7.2,0.5,21096.00 ,5.1,1
E01003490,Newham 019C,63.5,14.4,25,36.9,21.7,4.9,0.6,24292.00 ,4.3,1
E01003524,Newham 019D,65.6,11.2,17.9,44.3,20.9,5.8,0.5,23147.00 ,4,0
E01003631,Newham 020A,25.2,23.9,19.8,38.2,18.2,5.6,0.5,28440.00 ,5.5,1
E01003632,Newham 020B,31.8,20.5,28.4,33.1,22.3,4.4,0.6,29496.00 ,5.5,1
E01003633,Newham 020C,24.8,38.5,10.7,11.2,23.2,6.6,0.4,22377.00 ,4.8,1
E01003634,Newham 020D,32.5,27.6,16.8,20.1,25.4,6.7,0.6,24081.00 ,4.6,1
E01003636,Newham 020E,25.9,30,13.8,26.1,21.6,6.3,0.5,25180.00 ,4.4,0
E01003598,Newham 021A,31.4,33.7,8.2,14.9,21.4,6.3,0.5,23403.00 ,4.5,1
E01003600,Newham 021B,35.4,25.9,13.3,18.3,27.8,6.7,0.5,24516.00 ,4.7,1
E01003630,Newham 021C,29.2,29.9,11.1,25.3,21.4,5.7,0.4,25142.00 ,5,1
E01003637,Newham 021D,33.4,21.8,18.5,35.8,17.3,5.3,0.6,29241.00 ,4.6,1
E01003491,Newham 022A,72,10.6,15.2,37.7,21.1,6.6,0.4,22573.00 ,5.3,1
E01003592,Newham 022B,48,17.9,24.7,28.1,22.3,5.9,0.6,25287.00 ,4.2,0
E01003599,Newham 022C,53.9,17.1,15.8,28.1,24.5,5.2,0.5,23951.00 ,4.2,0
E01003606,Newham 022D,44.1,20.5,27.3,35,22.7,5.4,0.5,25916.00 ,4.7,1
E01003535,Newham 023A,29.9,28.1,21.7,16.1,32.4,7.4,0.7,22785.00 ,2.1,2
E01003536,Newham 023B,36.8,22.9,31.6,30.4,21.2,5.4,0.7,27898.00 ,2.7,0
E01003621,Newham 023C,61,10,30.8,37.3,20.3,4.3,0.7,26916.00 ,3.7,0
