ptal_poor_access,ptal_good_access
20.60 ,8.20 
15.60 ,0.00 
38.50 ,0.00 
0.00 ,11.20 
0.00 ,0.00 
11.70 ,3.90 
0.00 ,23.60 
0.00 ,100.00 
0.00 ,75.40 
0.00 ,44.20 
0.00 ,38.80 
0.00 ,6.10 
0.00 ,40.60 
0.00 ,97.90 
0.00 ,47.70 
0.00 ,0.00 
0.00 ,13.80 
0.00 ,0.00 
0.00 ,5.20 
0.00 ,0.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
14.10 ,0.00 
14.70 ,0.00 
19.90 ,5.50 
0.00 ,1.50 
0.00 ,25.30 
0.00 ,60.10 
0.00 ,54.50 
0.00 ,92.40 
0.00 ,71.70 
0.00 ,84.90 
0.00 ,98.70 
0.00 ,92.70 
0.00 ,43.20 
0.00 ,45.70 
0.00 ,64.90 
24.20 ,58.60 
29.70 ,43.30 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,97.10 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,99.60 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
1.60 ,70.70 
0.00 ,95.80 
0.00 ,49.00 
0.00 ,100.00 
0.00 ,84.30 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,99.50 
0.00 ,93.40 
0.00 ,0.00 
0.00 ,3.10 
0.00 ,60.40 
10.90 ,0.00 
6.40 ,70.10 
0.00 ,100.00 
0.00 ,74.30 
0.00 ,98.10 
0.00 ,100.00 
0.00 ,0.70 
0.00 ,72.00 
2.40 ,0.00 
0.00 ,0.00 
4.10 ,0.00 
0.00 ,3.20 
0.00 ,11.80 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,3.60 
0.00 ,72.60 
0.00 ,32.90 
0.00 ,71.20 
0.00 ,5.60 
0.00 ,2.70 
0.00 ,68.60 
0.00 ,57.20 
0.00 ,99.40 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,5.50 
0.00 ,55.70 
0.00 ,0.00 
0.00 ,0.20 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.20 ,26.80 
0.40 ,90.90 
0.00 ,5.00 
0.00 ,98.10 
0.00 ,0.00 
42.40 ,0.00 
3.60 ,0.00 
0.00 ,0.00 
0.00 ,56.90 
0.00 ,96.10 
0.00 ,100.00 
0.00 ,24.20 
0.00 ,33.60 
0.50 ,0.00 
0.00 ,0.00 
0.00 ,1.40 
23.90 ,6.50 
0.00 ,69.70 
0.00 ,91.60 
1.80 ,47.80 
61.50 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.20 
0.00 ,0.00 
0.00 ,0.70 
0.00 ,100.00 
1.00 ,0.00 
2.80 ,25.00 
0.00 ,100.00 
0.00 ,93.20 
0.10 ,3.20 
0.00 ,31.90 
0.00 ,0.00 
0.60 ,0.00 
0.00 ,0.50 
0.00 ,0.00 
33.20 ,0.00 
0.00 ,62.80 
0.00 ,17.40 
0.00 ,82.20 
0.00 ,98.90 
0.00 ,63.80 
0.00 ,8.50 
0.00 ,98.60 
0.00 ,100.00 
0.00 ,39.50 
0.00 ,96.90 
0.00 ,53.50 
0.00 ,99.10 
42.90 ,0.00 
45.50 ,0.00 
0.00 ,7.90 
77.90 ,0.00 
31.90 ,0.00 
0.00 ,0.00 
8.50 ,0.00 
0.00 ,27.10 
7.50 ,0.00 
34.00 ,6.60 
28.50 ,47.30 
0.00 ,93.90 
0.00 ,100.00 
0.00 ,99.90 
0.00 ,90.80 
0.00 ,100.00 
0.00 ,1.30 
22.10 ,0.00 
16.40 ,0.00 
83.50 ,0.00 
1.30 ,1.40 
0.00 ,79.10 
0.00 ,0.00 
0.50 ,0.00 
0.10 ,61.40 
50.10 ,4.90 
0.00 ,100.00 
0.00 ,97.60 
0.00 ,5.80 
0.00 ,0.00 
88.10 ,0.00 
4.70 ,1.40 
42.50 ,0.00 
3.50 ,9.90 
0.00 ,14.70 
9.50 ,0.10 
57.50 ,0.00 
52.00 ,0.00 
1.50 ,0.00 
8.10 ,0.00 
0.00 ,0.00 
0.00 ,95.00 
0.00 ,36.40 
0.00 ,97.90 
0.00 ,74.60 
0.00 ,0.00 
0.00 ,87.80 
0.00 ,19.00 
0.00 ,78.40 
0.00 ,100.00 
0.00 ,95.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,0.10 
0.00 ,0.00 
0.00 ,32.90 
0.00 ,0.00 
0.30 ,0.00 
0.00 ,25.70 
0.00 ,51.90 
0.00 ,53.40 
0.00 ,35.50 
0.00 ,15.80 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,83.50 
